Mo-Yr,Labor Force in K,Employment in K,Emp/Pop  percent,Unemployed  in K,Unemp Rate percent,LFPART percent
2014-09-01,4138.8,3856.6,56.3,282.2,6.8,60.4
2014-10-01,4144.5,3867.1,56.4,277.4,6.7,60.5
2014-11-01,4148.2,3875.6,56.5,272.5,6.6,60.5
2014-12-01,4150.7,3882.4,56.6,268.4,6.5,60.5
2015-01-01,4152.8,3888,56.6,264.8,6.4,60.5
2015-02-01,4154.6,3893.2,56.7,261.4,6.3,60.5
2015-03-01,4156,3899.1,56.7,257,6.2,60.4
2015-04-01,4156.6,3905.7,56.8,250.9,6,60.4
2015-05-01,4155.7,3912.4,56.8,243.2,5.9,60.4
2015-06-01,4152.9,3918.3,56.9,234.6,5.6,60.3
2015-07-01,4150,3923.5,56.9,226.5,5.5,60.2
2015-08-01,4149.1,3928.5,57,220.6,5.3,60.2
2015-09-01,4151.2,3933.8,57,217.4,5.2,60.2
2015-10-01,4157.4,3940.5,57.1,216.9,5.2,60.2
2015-11-01,4167.3,3948.5,57.2,218.8,5.2,60.4
2015-12-01,4177.4,3956.7,57.3,220.8,5.3,60.5
2016-01-01,4184.6,3963.2,57.4,221.3,5.3,60.6
2016-02-01,4187.7,3967.3,57.4,220.3,5.3,60.6
2016-03-01,4187.5,3969,57.4,218.4,5.2,60.6
2016-04-01,4186.7,3969.6,57.4,217.1,5.2,60.5
2016-05-01,4188,3970.5,57.4,217.5,5.2,60.5
2016-06-01,4192,3972.4,57.4,219.6,5.2,60.5
2016-07-01,4197.4,3975.7,57.4,221.7,5.3,60.6
2016-08-01,4202.3,3979.9,57.4,222.4,5.3,60.7
2016-09-01,4205.6,3984.4,57.5,221.2,5.3,60.7
2016-10-01,4206.2,3988.8,57.6,217.3,5.2,60.7
2016-11-01,4204.7,3993.9,57.6,210.8,5,60.7
2016-12-01,4203.7,4000.2,57.7,203.5,4.8,60.6
2017-01-01,4205,4007.6,57.8,197.4,4.7,60.6
2017-02-01,4209.2,4015.7,57.9,193.5,4.6,60.7
2017-03-01,4215.4,4023,58,192.4,4.6,60.8
2017-04-01,4222.6,4029.1,58.1,193.5,4.6,60.9
2017-05-01,4229.7,4034,58.2,195.7,4.6,61
2017-06-01,4235.3,4037.8,58.2,197.5,4.7,61
2017-07-01,4238.2,4040.6,58.2,197.6,4.7,61.1
2017-08-01,4237.2,4041.7,58.2,195.5,4.6,61.1
2017-09-01,4234,4042.2,58.2,191.8,4.5,61
2017-10-01,4229.6,4041.7,58.2,188,4.4,60.9
2017-11-01,4227.1,4040.5,58.2,186.7,4.4,60.9
2017-12-01,4226.8,4040,58.2,186.7,4.4,60.9
2018-01-01,4225.6,4042,58.2,183.6,4.3,60.8
2018-02-01,4228.2,4048.5,58.3,179.7,4.2,60.9
